Designator,Mid X,Mid Y,Rotation,Layer
C1,54.775,32.0,0.0,top
C2,38.875,24.0,0.0,top
D1,27.1,23.35,180.0,top
D2,81.81,42.6,180.0,top
D3,95.82,42.6,180.0,top
J1,63.6,30.5,180.0,bottom
J10,18.796,50.8,90.0,top
J11,45.72,50.8,90.0,top
J12,68.58,50.8,90.0,top
J13,9.975,41.75,90.0,top
J14,88.475,10.75,90.0,top
J15,79.975,10.75,90.0,top
J16,96.975,10.75,90.0,top
J17,9.975,30.75,90.0,top
J18,18.475,30.75,90.0,top
J19,26.975,30.75,90.0,top
J2,43.475,10.75,90.0,top
J20,18.475,19.75,90.0,top
J3,52.475,39.75,90.0,top
J4,52.475,13.5,90.0,top
J5,61.475,13.5,90.0,top
J6,71.475,10.75,90.0,top
J7,27.94,2.54,90.0,top
J8,50.8,2.54,90.0,top
J9,73.66,2.54,90.0,top
K1,74.2,37.875,270.0,top
K2,88.2,37.875,270.0,top
Q1,36.35,45.015,90.0,top
Q2,70.79,45.0,0.0,top
Q3,86.89,45.75,0.0,top
Q4,21.0,41.0,270.0,top
R1,59.0,8.0,0.0,top
R10,3.5,42.0,0.0,top
R11,29.0,44.0,180.0,top
R12,29.0,39.0,180.0,top
R13,3.5,40.0,0.0,top
R2,36.225,41.775,0.0,top
R3,33.5,45.4125,90.0,top
R4,54.9125,33.9,0.0,top
R5,30.325,19.8,180.0,top
R6,23.8,21.425,90.0,top
R7,67.6,45.125,270.0,top
R8,83.7,45.875,270.0,top
R9,21.125,44.21,180.0,top
U1,51.1375,27.675,0.0,top
U2,33.625,23.365,180.0,top
Y1,44.875,25.7,90.0,top
